,correct,total,missed detection,false alarm,confusion,diarization error rate,item
0,1767.679999999998,1894.2499999999977,92.48000000000054,0.0,34.089999999999336,0.066818001847697,TS3003c.Mix-Headset
1,1796.6149999999964,2530.2599999999948,635.3600000000006,0.0,98.28499999999948,0.2899484637942352,EN2002a.Mix-Headset
2,1408.0149999999978,1943.439999999997,466.609999999999,0.0,68.81500000000008,0.27550374593504295,EN2002b.Mix-Headset
3,2524.414999999997,3343.6399999999962,738.709999999999,0.0,80.51500000000055,0.24500992929860885,EN2002c.Mix-Headset
4,1830.719999999999,2675.889999999997,747.2699999999999,0.0,97.89999999999917,0.3158463165526236,EN2002d.Mix-Headset
5,755.2750000000002,923.43,136.09000000000017,0.0,32.06499999999951,0.1820982640806555,ES2004a.Mix-Headset
6,1981.0399999999981,2233.049999999999,218.8400000000007,0.0,33.16999999999982,0.112854615884105,ES2004b.Mix-Headset
7,1976.6200000000001,2244.4699999999975,231.74999999999696,0.0,36.100000000000385,0.11933775011472537,ES2004c.Mix-Headset
8,1664.049999999997,2006.7699999999988,287.83000000000214,0.0,54.889999999999546,0.1707819032574744,ES2004d.Mix-Headset
9,585.3449999999998,695.8999999999995,90.9800000000001,0.0,19.57499999999974,0.15886621641040366,IS1009a.Mix-Headset
10,1752.369999999999,1982.9699999999987,204.99999999999963,0.0,25.599999999999866,0.11629021114792441,IS1009b.Mix-Headset
11,1482.9899999999986,1584.4499999999982,81.45999999999901,0.0,20.000000000000313,0.06403483858752212,IS1009c.Mix-Headset
12,1512.8949999999993,1738.599999999998,190.77999999999986,0.0,34.92499999999885,0.12981997009087712,IS1009d.Mix-Headset
13,919.2499999999993,1025.963999999999,47.86399999999966,0.0,58.850000000000044,0.10401339618154225,TS3003a.Mix-Headset
14,1719.5949999999984,1820.4999999999998,81.22000000000199,0.0,19.684999999999604,0.055427080472398575,TS3003b.Mix-Headset
15,1784.984999999998,2070.3399999999983,216.79000000000119,0.0,68.56499999999888,0.13783001825787083,TS3003d.Mix-Headset
mean,1591.3662499999984,1919.6202499999981,279.31462500000004,0.0,48.9393749999997,0.1590300451196067,
