,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
cvofp,11.672320528101267,1090.699999999998,1011.1999999999987,92.71110296140098,47.8100000000008,4.383423489502236,25.903999999999456,2.3749885394700194,53.59600000000003,4.913908499129011
cwbvu,33.85818413417309,141.30999999999983,94.98399999999991,67.21675748354683,1.5189999999999868,1.0749416177198985,28.267999999999994,20.00424598400681,18.057999999999947,12.778996532446373
dgvwu,18.80872329570026,764.3900000000076,641.3600000000043,83.90481298813407,20.742000000001518,2.71353628383434,49.851000000001704,6.521670874815371,73.17900000000142,9.57351613705055
diysk,33.07727509861841,1092.5899999999892,831.5099999999977,76.10448567166145,100.31899999999999,9.181760770279885,119.29599999999611,10.918642857796364,141.78399999999522,12.976871470542163
dkabn,20.171584363862905,1074.6899999999973,876.1299999999992,81.52397435539564,18.22199999999952,1.6955587192585364,125.55099999999848,11.682531706817667,73.00899999999969,6.793493937786699
dlast,20.606551251712453,1124.0599999999968,897.6539999999986,79.85819262316969,5.223999999999954,0.464743874882121,37.51099999999909,3.3370994430901555,188.89499999999927,16.804707933740175
dohag,3.14922726121106,39.470000000000006,39.037,98.9029642766658,0.8099999999999987,2.052191537876865,0.4330000000000068,1.097035723334195,0.0,0.0
duvox,5.924874475357428,898.2300000000054,863.9870000000034,96.18772474755889,18.976000000001346,2.112599222916317,19.62100000000175,2.184407111764429,14.622000000000241,1.6278681406766813
dxbbt,7.15070080985893,655.6700000000035,624.7530000000022,95.28467064224364,15.968000000001043,2.4353714521025758,14.94800000000096,2.279805389906642,15.969000000000293,2.4355239678497123
dxokr,8.391628277313227,175.82999999999984,165.20899999999992,93.95950634135248,4.1339999999998955,2.3511346186656996,2.731999999999971,1.5537735312517622,7.888999999999967,4.486720127395765
dzsef,4.334179409397634,161.53,154.56900000000002,95.69058379248438,0.03999999999999204,0.024763201881998417,0.4650000000000283,0.28787222187830636,6.495999999999977,4.0215439856373285
dzxut,24.21518193224575,159.39999999999975,140.29299999999986,88.0131744040151,19.491999999999813,12.22835633626088,5.79199999999991,3.633626097866951,13.314999999999943,8.35319949811792
eauve,19.279432601012754,1228.0599999999965,1038.8240000000003,84.5906551797146,47.52700000000054,3.8700877807273812,100.65999999999691,8.196667915248211,88.57599999999914,7.212676905037164
eazeq,19.19597479162425,98.37999999999981,83.70699999999988,85.08538320796914,4.211999999999962,4.281357999593383,5.073999999999954,5.157552348038182,9.598999999999982,9.757064443992682
eddje,26.873201851311666,479.6600000000028,358.3080000000013,74.70041279239445,7.548000000000788,1.5736146437061134,48.777000000000896,10.169078096985492,72.57500000000064,15.130509110620068
eguui,28.07620591811911,123.34999999999972,89.77999999999987,72.78475881637623,1.0619999999999976,0.8609647344953385,17.648999999999944,14.308066477503028,15.920999999999907,12.907174706120749
eoyaz,47.656490015360966,208.31999999999977,112.06599999999989,53.795122887864835,3.023999999999976,1.4516129032257965,10.87399999999997,5.2198540706605145,85.37999999999991,40.985023041474655
epygx,13.343536155030813,1025.8600000000006,951.213,92.72347103893314,62.2389999999986,6.067007193963948,29.739000000000253,2.8989335776811878,44.908000000000314,4.377595383385675
eqsta,32.018185754493,923.8000000000169,667.8860000000078,72.29768348127253,39.870000000002456,4.315869235765504,118.69400000000604,12.8484520458978,137.2200000000032,14.853864472829692
erslt,33.68505911859542,111.63999999999969,78.9059999999998,70.67896811178791,4.871999999999936,4.364027230383329,11.21899999999991,10.049265496237854,21.514999999999972,19.271766391974232
eucfa,29.595972634568156,77.46999999999996,55.82699999999999,72.06273396153352,1.2849999999999646,1.6587065961016723,5.7230000000000025,7.387375758358082,15.919999999999973,20.549890280108407
euqef,30.553784860557776,25.100000000000005,17.660000000000004,70.35856573705179,0.22900000000000292,0.9123505976095733,2.4959999999999996,9.944223107569718,4.944000000000001,19.697211155378486
ezxso,18.963324229418657,256.2999999999998,215.62599999999972,84.1303160358954,7.9289999999999425,3.0936402653140656,4.725999999999967,1.8439328911431803,35.94800000000007,14.025751072961413
fijfi,12.371232541044252,816.200000000007,748.0720000000047,91.65302621906373,32.84600000000168,4.024258760107989,27.29500000000149,3.344155844155998,40.83300000000088,5.002817936780266
fowhl,13.101187835773809,811.5600000000078,743.9330000000041,91.6670363251019,38.69700000000328,4.768224160875709,34.036000000002694,4.19389817142323,33.591000000000975,4.13906550347487
