,precision,recall,f1-score,support
relevant,0.7205646454924607,0.7321923390383048,0.726331958929582,6135.0
non_relevant,0.8563183209444687,0.848968267730189,0.8526274543950542,11534.0
accuracy,0.8084215292319882,0.8084215292319882,0.8084215292319882,0.8084215292319882
macro avg,0.7884414832184647,0.7905803033842469,0.789479706662318,17669.0
weighted avg,0.809182161631657,0.8084215292319882,0.8087753481818745,17669.0
