,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
EN2002a,32.06291184676116,2426.569999999816,1675.9319999999182,69.06588311897225,27.390999999991905,1.128794965733277,566.9419999999229,23.36392521130509,183.6959999999786,7.570191669722799
EN2002b,32.683546325877316,1877.9999999999143,1291.9769999999603,68.7953674121416,27.773999999994178,1.478913738018927,409.7259999999691,21.817145899892854,176.29699999998468,9.387486687965534
EN2002c,27.57193703783085,3259.099999999798,2376.793999999899,72.92792488724022,16.290999999989168,0.4998619250710373,673.0269999999191,20.650701113803223,209.2789999999813,6.42137399895659
EN2002d,36.93845927372102,2581.379999999847,1658.3559999999184,64.2430018052366,30.49799999999334,1.1814610789575788,700.1789999999446,27.12421263045294,222.84499999998522,8.632785564310502
ES2004a,28.22524946742966,891.9000000000212,650.6780000000108,72.95414284112516,10.519000000000773,1.1793923085548295,175.03800000000882,19.625294315506746,66.1840000000015,7.420562843368082
ES2004b,14.029688914207128,2176.5699999998483,1911.9389999999,87.84183371084015,40.73499999998826,1.8715226250472579,222.69599999995523,10.23151104719677,41.934999999993266,1.9266552419630976
ES2004c,17.868434658868477,2185.52999999988,1856.1559999999185,84.92933064291135,61.14599999998529,2.7977653017798265,185.18299999996924,8.473139238536163,144.19099999999221,6.597530118552485
ES2004d,20.938822048412277,1938.2799999998715,1589.2499999999202,81.9927977382022,56.82299999998755,2.931619786614489,273.69599999996416,14.120560496934514,75.33399999998686,3.886641764863273
IS1009a,26.356011460297868,673.6300000000161,510.75100000000907,75.82070275967473,14.663000000001674,2.1767142199725846,102.86900000000477,15.270846013390484,60.010000000002336,8.908451226934801
IS1009b,15.670631346851035,1932.0599999999176,1655.199999999953,85.67021728103803,25.90599999999236,1.3408486278890648,206.55499999997264,10.69092057182393,70.30499999999225,3.638862147138042
IS1009c,11.870805153392046,1555.47999999995,1403.4279999999694,90.22475377375565,32.59599999999613,2.0955589271477084,90.43799999998537,5.814153830328148,61.613999999995194,3.9610923959161917
IS1009d,26.023345563092743,1681.6899999999257,1277.7539999999633,75.98035309718317,33.69599999999257,2.0036986602759166,217.80999999997314,12.95185200601673,186.12599999998932,11.067794896800097
TS3003a,24.829119747621935,1004.2119999999694,770.8899999999843,76.76566302732967,16.01499999999644,1.5947827749515968,182.23199999999036,18.146765822355828,51.0899999999948,5.087571150314511
TS3003b,14.195268860621324,1783.0799999999097,1582.6749999999463,88.76073984341849,52.70799999999058,2.9560087040398217,141.68499999997,7.946082060254008,58.71999999999335,3.293178096327497
TS3003c,26.696484249003692,1860.1999999999032,1412.1749999999533,75.9152241694456,48.58299999999107,2.611708418449285,215.24699999996434,11.571175142456486,232.77799999998544,12.513600688097922
TS3003d,28.321103302106533,2000.539999999855,1478.1149999999188,73.88580083377619,44.1499999999848,2.206904135882712,381.540999999948,19.071900586840336,140.88399999998808,7.042298579383481
TOTAL,24.35829396736943,29828.221999998445,23102.06999999914,77.4503756878313,539.4939999998761,1.8086696552007164,4744.863999999461,15.907297458090893,1981.2879999998445,6.642326854077819
