,missed detection,total,false alarm,correct,confusion,diarization error rate,item
0,390.4620000000015,2530.2600000000025,80.5740000000005,1364.993999999996,774.8040000000019,0.49237627753669694,EN2002a.Mix-Headset
1,260.17299999999983,1943.4399999999996,59.039999999999225,1157.9669999999994,525.2999999999996,0.4345454451899718,EN2002b.Mix-Headset
2,517.8670000000002,3343.6399999999994,40.7949999999956,2400.354999999998,425.418000000001,0.29431398117022073,EN2002c.Mix-Headset
3,548.5270000000011,2675.8899999999985,72.48699999999864,1679.7219999999988,447.6409999999993,0.3993643236455906,EN2002d.Mix-Headset
4,132.8199999999995,923.4300000000004,23.409999999999652,554.958000000001,235.65199999999987,0.4243765093185178,ES2004a.Mix-Headset
5,174.24700000000155,2233.0500000000006,74.33499999999961,1188.248999999999,870.5539999999999,0.5011692528156559,ES2004b.Mix-Headset
6,143.6900000000005,2244.4699999999993,96.65899999999809,1434.3079999999982,666.472000000001,0.4040245581362192,ES2004c.Mix-Headset
7,204.79300000000552,2006.7700000000007,111.05100000000192,1178.2289999999996,623.7479999999953,0.4682111054081945,ES2004d.Mix-Headset
8,75.25499999999971,695.9000000000002,31.14999999999969,501.31900000000024,119.32600000000019,0.32437275470613525,IS1009a.Mix-Headset
9,159.22600000000068,1982.9699999999998,45.326999999999416,1051.224,772.5199999999993,0.49273211395028643,IS1009b.Mix-Headset
10,65.31799999999996,1584.449999999999,62.415000000000106,943.7809999999981,575.3510000000008,0.4437400990880125,IS1009c.Mix-Headset
11,171.5770000000001,1738.5999999999997,62.31999999999801,1213.4379999999994,353.5850000000001,0.33790521108938126,IS1009d.Mix-Headset
12,170.10599999999982,1025.963999999999,20.598000000000198,470.4860000000008,385.3719999999986,0.5614972845051086,TS3003a.Mix-Headset
13,96.94200000000218,1820.5000000000007,96.81900000000024,1272.7059999999994,450.85199999999895,0.35408569074430163,TS3003b.Mix-Headset
14,172.44000000000162,1894.2499999999998,78.87300000000013,1110.6599999999985,611.1499999999996,0.45530579384980946,TS3003c.Mix-Headset
15,318.43300000000596,2070.340000000003,82.04699999999661,1266.8729999999996,485.0339999999974,0.4277142884743562,TS3003d.Mix-Headset
mean,225.1172500000012,1919.6202500000004,64.86874999999924,1174.329312499999,520.1736874999996,0.42598341810177864,
