,diarization error rate,total,correct,correct,false alarm,false alarm,missed detection,missed detection,confusion,confusion
,%,,,%,,%,,%,,%
item,,,,,,,,,,
EN2002a,49.23762775366969,2530.2600000000025,1364.993999999996,53.9467880771144,80.5740000000005,3.1844158307842045,390.4620000000015,15.431694766545775,774.8040000000019,30.621517156339713
EN2002b,43.45454451899718,1943.4399999999996,1157.9669999999994,59.583367636767775,59.039999999999225,3.037912155764996,260.17299999999983,13.387241180586996,525.2999999999996,27.029391182645192
EN2002c,29.431398117022074,3343.6399999999994,2400.354999999998,71.788679403285,40.7949999999956,1.2200775203070788,517.8670000000002,15.488120730700683,425.418000000001,12.723199866014316
EN2002d,39.93643236455906,2675.8899999999985,1679.7219999999988,62.77246075137617,72.48699999999864,2.7088931159352097,548.5270000000011,20.498862060847095,447.6409999999993,16.728677187776757
ES2004a,42.43765093185178,923.4300000000004,554.958000000001,60.09746272050948,23.409999999999652,2.5351136523612663,132.8199999999995,14.383331708954598,235.65199999999987,25.51920557053591
ES2004b,50.11692528156559,2233.0500000000006,1188.248999999999,53.21192987170008,74.33499999999961,3.3288551532656943,174.24700000000155,7.803094422426792,870.5539999999999,38.98497570587311
ES2004c,40.40245581362192,2244.4699999999993,1434.3079999999982,63.90408426042667,96.65899999999809,4.306540074048578,143.6900000000005,6.40195680940269,666.472000000001,29.69395893017065
ES2004d,46.82111054081945,2006.7700000000007,1178.2289999999996,58.71270748516269,111.05100000000192,5.533818025982145,204.79300000000552,10.205105717147728,623.7479999999953,31.082186797689577
IS1009a,32.43727547061353,695.9000000000002,501.31900000000024,72.03894237677828,31.14999999999969,4.476217847391821,75.25499999999971,10.814053743353885,119.32600000000019,17.147003879867817
IS1009b,49.273211395028646,1982.9699999999998,1051.224,53.012602308658224,45.326999999999416,2.285813703686865,159.22600000000068,8.029672662723122,772.5199999999993,38.957725028618654
IS1009c,44.37400990880125,1584.449999999999,943.7809999999981,59.56521190318399,62.415000000000106,3.939221811985241,65.31799999999996,4.122439963394238,575.3510000000008,36.312348133421764
IS1009d,33.79052110893813,1738.5999999999997,1213.4379999999994,69.79397216150925,62.31999999999801,3.5844932704473726,171.5770000000001,9.868687449672159,353.5850000000001,20.337340388818596
TS3003a,56.149728450510864,1025.963999999999,470.4860000000008,45.857944333329556,20.598000000000198,2.00767278384039,170.10599999999982,16.58011392212592,385.3719999999986,37.56194174454454
TS3003b,35.40856907443016,1820.5000000000007,1272.7059999999994,69.90969513869811,96.81900000000024,5.318264213128273,96.94200000000218,5.325020598736729,450.85199999999895,24.765284262565164
TS3003c,45.530579384980946,1894.2499999999998,1110.6599999999985,58.633232149927345,78.87300000000013,4.163811534908282,172.44000000000162,9.103339052395492,611.1499999999996,32.263428797677165
TS3003d,42.77142884743562,2070.340000000003,1266.8729999999996,61.19154341798921,82.04699999999661,3.9629722654248343,318.43300000000596,15.380710414714757,485.0339999999974,23.427746167296036
TOTAL,42.204164469508996,30713.924000000006,18789.268999999986,61.17508462936869,1037.8999999999878,3.3792490988777195,3601.8760000000193,11.727176247489636,8322.778999999993,27.097739123141647
