,train_loss,val_f1_accuracy,val_flat_accuracy,epoch_time
0,0.4892163505941819,78.7473385379702,78.7473385379702,1669.513839483261
1,0.4055860369423105,79.48545067423704,79.48545067423704,1668.3982133865356
2,0.36394103566399494,79.06316536550744,79.06316536550744,1672.1190195083618
3,0.3326935019415146,79.60255500354862,79.60255500354862,1671.191594839096
4,0.3059794190563904,79.27963094393186,79.27963094393186,1667.1673409938812
5,0.28505980133753167,78.75443577004967,78.75443577004968,1671.7860460281372
6,0.2684896998411953,78.4705464868701,78.47054648687012,1670.6834919452667
7,0.2546098692736823,78.35344215755855,78.35344215755855,1669.7629284858704
8,0.2422049891112286,78.07665010645847,78.07665010645847,1668.780396938324
9,0.23434545988594263,77.75727466288149,77.75727466288149,1671.1817646026611
