,train_loss_batch
0,0.6892892718315125
1,0.6915756464004517
2,0.6703181266784668
3,0.6873427629470825
4,0.6850548982620239
5,0.6733201742172241
6,0.702452540397644
7,0.651331901550293
8,0.6809648275375366
9,0.6518276929855347
10,0.6614460349082947
11,0.670029878616333
12,0.7058966159820557
13,0.6193726658821106
14,0.652897834777832
15,0.7030677199363708
16,0.643066942691803
17,0.6662625074386597
18,0.6190664768218994
19,0.7076891660690308
20,0.6538463234901428
21,0.6428245306015015
22,0.6204646825790405
23,0.6938215494155884
24,0.6211628913879395
25,0.6871143579483032
26,0.7048308849334717
27,0.6891590356826782
28,0.718808650970459
29,0.7214522361755371
30,0.7189812660217285
31,0.6619697213172913
32,0.6724545955657959
33,0.6694144010543823
34,0.6672546863555908
35,0.6854605078697205
36,0.6816984415054321
37,0.6816653609275818
38,0.6925771832466125
39,0.6593461036682129
40,0.6791985034942627
41,0.6564779281616211
42,0.6823820471763611
43,0.6981701850891113
44,0.6713639497756958
45,0.6537042856216431
46,0.6528240442276001
47,0.6912186145782471
48,0.6466021537780762
49,0.6836927533149719
50,0.6579036712646484
51,0.6846258640289307
52,0.6297414898872375
53,0.6192272305488586
54,0.685312032699585
55,0.6096386909484863
56,0.6684392094612122
57,0.6619871854782104
58,0.6397732496261597
59,0.6583037376403809
60,0.6375174522399902
61,0.6195981502532959
62,0.6322288513183594
63,0.6150274276733398
64,0.6432639360427856
65,0.6678812503814697
66,0.6336378455162048
67,0.6410223841667175
68,0.6375905871391296
69,0.6009449362754822
70,0.5941261053085327
71,0.5931369066238403
72,0.6023801565170288
73,0.608492374420166
74,0.58138108253479
75,0.6528849005699158
76,0.5947646498680115
77,0.5791488885879517
78,0.6278824806213379
79,0.6363065838813782
80,0.5771006345748901
81,0.659828245639801
82,0.5906856060028076
83,0.5952571630477905
84,0.5788905620574951
85,0.5618941783905029
86,0.7680253386497498
87,0.7125012874603271
88,0.5810544490814209
89,0.5641016364097595
90,0.6311527490615845
91,0.6193475723266602
92,0.6578322052955627
93,0.6238415837287903
94,0.6227573156356812
95,0.6637723445892334
96,0.6138563752174377
97,0.6620739698410034
98,0.5846951603889465
99,0.5949565768241882
100,0.5228856801986694
101,0.6139247417449951
102,0.5248513221740723
103,0.6300135850906372
104,0.6602314710617065
105,0.6615052223205566
106,0.5552659034729004
107,0.6052615642547607
108,0.6919460892677307
109,0.5889295339584351
110,0.6311869621276855
111,0.5626057386398315
112,0.6000009775161743
113,0.5756981372833252
114,0.6521569490432739
115,0.6777278184890747
116,0.6018378734588623
117,0.5689244866371155
118,0.5649482011795044
119,0.5719329714775085
120,0.5715327262878418
121,0.5849120616912842
122,0.5505510568618774
123,0.6573802828788757
124,0.5772983431816101
125,0.5700374841690063
126,0.6769067645072937
127,0.6646929979324341
128,0.5682199597358704
129,0.6232330799102783
130,0.5978972911834717
131,0.6039291620254517
132,0.5146253108978271
133,0.6456890106201172
134,0.5751998424530029
135,0.6570731997489929
136,0.6144072413444519
137,0.6581860184669495
138,0.6660472750663757
139,0.6147609949111938
140,0.5839181542396545
141,0.6413149237632751
142,0.5801824331283569
143,0.5938609838485718
144,0.6164183616638184
145,0.5728435516357422
146,0.6626887321472168
147,0.5634790062904358
148,0.576477587223053
149,0.6212485432624817
150,0.6017534732818604
151,0.6042136549949646
152,0.5850361585617065
153,0.558466911315918
154,0.537013828754425
155,0.604891300201416
156,0.6340903639793396
157,0.5113562345504761
158,0.5693551898002625
159,0.5396082401275635
160,0.5150454640388489
161,0.4523211717605591
162,0.5744942426681519
163,0.6017468571662903
164,0.685696005821228
165,0.6216520071029663
166,0.6237109899520874
167,0.6506644487380981
168,0.5265296101570129
169,0.566585898399353
170,0.532494068145752
171,0.5140673518180847
172,0.6455186009407043
173,0.5891858339309692
174,0.5286100506782532
175,0.566478967666626
176,0.5683870315551758
177,0.6001745462417603
178,0.6020967960357666
179,0.5396229028701782
180,0.5333781838417053
181,0.5673490166664124
182,0.6043251156806946
183,0.5050530433654785
184,0.515505313873291
185,0.5360383987426758
186,0.553196132183075
187,0.5147539377212524
188,0.49617087841033936
189,0.6130962371826172
190,0.46255818009376526
191,0.5477783679962158
192,0.4226757884025574
193,0.6188165545463562
194,0.5917046666145325
195,0.5622890591621399
196,0.47970032691955566
197,0.4876384735107422
198,0.4851033389568329
199,0.6580759286880493
200,0.5658109188079834
201,0.5437438488006592
202,0.504645824432373
203,0.49458855390548706
204,0.5539976358413696
205,0.5304616689682007
206,0.58099365234375
207,0.5276960730552673
208,0.6170778274536133
209,0.5954023003578186
210,0.4635705351829529
211,0.612511396408081
212,0.6163384318351746
213,0.6083930730819702
214,0.5761219263076782
215,0.5631791949272156
216,0.5719409584999084
217,0.5971616506576538
218,0.606560468673706
219,0.5366566777229309
220,0.7403149008750916
221,0.6348087787628174
222,0.6221725940704346
223,0.5784773826599121
224,0.561542272567749
225,0.5341272950172424
226,0.6102451086044312
227,0.6159684062004089
228,0.5540165305137634
229,0.6405932307243347
230,0.5737390518188477
231,0.5776211023330688
232,0.5038936138153076
233,0.5110399723052979
234,0.5392836928367615
235,0.5929915308952332
236,0.5987354516983032
237,0.7375128269195557
238,0.6345354914665222
239,0.47806161642074585
240,0.5680400133132935
241,0.519687294960022
242,0.6376398205757141
243,0.5653436183929443
244,0.5421645641326904
245,0.5583232045173645
246,0.6051355004310608
247,0.5392553806304932
248,0.5656788945198059
249,0.5389429330825806
250,0.5472177267074585
251,0.4374435544013977
252,0.500863790512085
253,0.4931674599647522
254,0.5153068900108337
255,0.5594804286956787
256,0.47047746181488037
257,0.5205996036529541
258,0.519405722618103
259,0.5748516917228699
260,0.5367088317871094
261,0.4941827058792114
262,0.49934542179107666
263,0.5716416239738464
264,0.5121238231658936
265,0.47190552949905396
266,0.6687498092651367
267,0.5829814672470093
268,0.5980508327484131
269,0.5832492113113403
270,0.6050049066543579
271,0.561951220035553
272,0.5669854879379272
273,0.5678866505622864
274,0.5984017848968506
275,0.5560263395309448
276,0.5180569887161255
277,0.6039719581604004
278,0.5364779233932495
279,0.6078682541847229
280,0.5395635366439819
281,0.5600522756576538
282,0.5813242197036743
283,0.5090121030807495
284,0.5066577196121216
285,0.5104876756668091
286,0.6222149133682251
287,0.5635117888450623
288,0.5251784324645996
289,0.572794497013092
290,0.5876560211181641
291,0.49846023321151733
292,0.5754923224449158
293,0.5808865427970886
294,0.5303077697753906
295,0.45030835270881653
296,0.5545632839202881
297,0.4485342800617218
298,0.6529377698898315
299,0.5596774220466614
300,0.495811402797699
301,0.49045783281326294
302,0.49767428636550903
303,0.5222914814949036
304,0.5579842329025269
305,0.5014700293540955
306,0.5387006998062134
307,0.4630005359649658
308,0.4550876021385193
309,0.6058969497680664
310,0.4945642352104187
311,0.45471256971359253
312,0.545169472694397
313,0.5466333627700806
314,0.647324800491333
315,0.4973864257335663
316,0.5922911167144775
317,0.4560520648956299
318,0.5189153552055359
