,precision,recall,f1-score,support
relevant,0.7283270513192229,0.6806665763446688,0.7036907346452832,7381.0
non_relevant,0.8017661900756938,0.8357149118962041,0.8183886337296649,11407.0
accuracy,0.7748030657866724,0.7748030657866724,0.7748030657866724,0.7748030657866724
macro avg,0.7650466206974584,0.7581907441204364,0.761039684187474,18788.0
weighted avg,0.7729150998499374,0.7748030657866724,0.7733287448036578,18788.0
