,precision,recall,f1-score,support
relevant,0.7028629083112624,0.7550467416339249,0.7280209013716525,7381.0
non_relevant,0.8335021641035086,0.793460156044534,0.8129884128267313,11407.0
accuracy,0.7783691718117948,0.7783691718117948,0.7783691718117948,0.7783691718117948
macro avg,0.7681825362073855,0.7742534488392294,0.7705046570991919,18788.0
weighted avg,0.7821795993279833,0.7783691718117948,0.7796083190408075,18788.0
